title,date,source,body
浪花淘尽英雄，《宿命交锋》万人删测结束，不服首发来战！,2019-11-05,97973手游网,"君海全新MMO国战策略手游《宿命交锋》删测圆满结束！作为三国题材的策略游戏，《宿命交锋》融合了RPG创新玩法，给用户带来沉浸式互动体验，拥有着丰富的武将养成系统，还有着远征西域、大秘境、都城战等精彩玩法，力求为你还原一个原汁原味的三国史诗世界。
　　本次删测中近万人约战，经典战局斗智斗勇，无数主公在《宿命交锋》中书写属于自己的历史，一展宏图，称王霸业！

　　作为一款策略性游戏，《宿命交锋》相对于同类的游戏，武将的实力相互制衡，保护了游戏的战斗生态，在数值上武将的战力搭配也更合理，使得高战力玩家和大R玩家不再有绝对的碾压性，让普通玩家的生存空间得到了保障。
　　就如同英雄联盟的天赋系统，每个武将既能够拥有相互制衡的技能和兵种，也拥有相对公平的特效和数值，这使得每个武将都有用武之地，更加均衡的对抗也让战场充满了不确定性！

　　除了公平均衡的武将对决，《宿命交锋》的万人国战系统更是一绝！相较于其他三国策略游戏而言，《宿命交锋》抛弃了漫长的养成期，早早地进入到玩家PK的阶段。当你在酒馆招募到心仪的武将后，快速培养快速上阵，你就能够在当晚的国战中大放异彩。
　　除了紧张刺激的争锋交战，培育实力的资源怎么获得呢？游戏为大家准备了远征西域、大秘境、都城战等精彩玩法，超多资源一键获取。你只需要偶尔拿出手机看一看，花十分钟把资源领完，随时随地升级，一刻也不耽误！

　　删测结束后，很多玩家都在关注《宿命交锋》这款手游具体的首发时间。有很多玩家就会问《宿命交锋》什么时候首发？今天就为大家透露一下信息：《宿命交锋》首发在即！一定要关注哦！

　　君海全新MMO国战策略手游《宿命交锋》删测现已圆满结束！战火从未熄灭，无论是在删测中错失称帝决心复仇，还是错过删测想要变身主公一展宏图，都千万不要错过《宿命交锋》的首发啦！
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
千变万化八奇阵《大话白蛇》伙伴阵法详细解析,2019-10-30,97973手游网,"嗨，各位老爷仙女你们好呀！记得上一期，小编给大家介绍过《大话白蛇》中的伙伴模块的内容，但由于篇幅比较长，内容比较多，所以就将这伙伴的阵法篇做一个简要的介绍，先让大家喝一口沁人心脾的“清汤”润润喉。而今天，小编儿会用心将伙伴模块中的阵法内容给大家奉上，力争为大家做好一份极品“美味”
　　在手游《大话许仙》中，不管是PVP还是PVE玩法，都离不开阵法系统，只有了解相生相克的原理，才能发挥阵法最大的作用，那么接下来，小编儿将为大家介绍的第一个阵法！
　　攻击型：天极阵
　　天极阵作为八大阵法中唯一一个增益全体攻击力的阵法，可为所有队员和宠物对敌造成的伤害增加15%，这些增益可谓是极其恐怖的。但缺点是，全员速度降低10%。天极阵作为全攻击型阵法，在抓鬼、封妖等活动中受到热捧， 克制的阵法有普通阵、水灵阵、云迷阵、地覆阵等。

　　以守为攻：地覆阵
　　这个阵法是典型的全体防御型阵法，增益效果为：队长受到伤害减少25%，所有队友和宠物受到伤害减少15%，地覆阵作为比较“抗揍”的阵法，在PVP和竞技场中用到的次数比较频繁，一般阵容中封系和恢复门派出现的人数较多，抛弃输出，打消耗战为主，待到敌方弹尽粮绝，才是反扑取胜的时机。 ，克制的阵法分别为，风吼阵、云迷阵、火绝阵、雷暴阵等。

　　全能型：风吼阵
　　这是一个攻速同存型阵法，队长对敌伤害增加20%，队员2、3对伤害增加10%，队员4、5速度提高10%，所有宠物对敌伤害增加10%，在保证宠物有高输出的同时，不同门派的队员都能够获得不错的属性加成，有速有伤，强力的物理输出、高速封系和稳定的法系阵容搭配，效果非常可观，广泛适用于PVP中。克制的阵法为天极阵、水灵阵、火绝阵、山崩阵等。

　　法系克星：山崩阵
　　山崩阵善于规避伤害及增加速度的阵法，队员中1、2、3号位法术躲避+15%，队员4、5法术躲避+1%、速度+10%，所有宠物法术躲避+15%。山崩阵全体大幅度增加法术躲避的概率在法宠略显强势的《大话白蛇》中，山崩阵可谓是占尽了优势，让多法师的阵容相当烦恼。克制的阵容有地覆阵、雷暴阵、水灵阵和天极阵等。
　　嘿嘿~~怎么样？今天的硬菜可还符合大家的胃口呢？因为阵法较多，小编儿还得一个一个的去体验，力争将最好的新闻资讯与游戏攻略献给大家，希望老爷仙女们多多支持我们《大话白蛇》手游，你们的关注，就是我们的动力，好啦，让我们下期见。挥挥~~
　　《大话白蛇》手游，给你不一样的白蛇传说！

　　大话白蛇游戏官网：https：//dhbs.demigame.com/

　　大话白蛇游戏官方Q群：730903773
 
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
万人来战！你约不约？君海《宿命交锋》火爆删测进行中！,2019-10-28,97973手游网,"近万人赴约！君海全新MMO国战策略手游《宿命交锋》删测火爆进行中，丰富的武将养成系统，还有着远征西域、大秘境、都城战等精彩玩法，力求为你还原一个原汁原味的三国史诗世界。
　　作为一款三国题材的策略手游，《宿命交锋》为什么能够吸引近万人参与测试？这款游戏有什么魅力之处？这场三国史诗之邀，一起约起来！

　　你是否想象过，司马懿和诸葛亮这一对生死宿敌并肩作战的场景？“无耻老贼”和“厚颜无耻之人”能否携手共战？今日《宿命交锋》就将把名将选择权交给了你！无论是因官渡之战结仇的曹操和袁绍，还是互相瞧不起的关羽和吕蒙，这些名将的命运都将由你掌握！
　　千军易得，一将难求！良将何在，酒馆来送！可以选择使用元宝进行武将召唤，10连必出武将。日常福利和竞技场都能获得元宝，每日第一次召唤更是免费的，看来收集史诗名将不是难事，真可谓脸黑党的福音！

　　拥有了武将之后，该怎么提升战斗力呢？武将升级和训练能大量提升武将属性，技能升级会给战局带来翻天覆地的变化，羁绊系统则是考验你对阵营搭配的理解，羁绊越多收益越大！ 值得一提的是，在《宿命交锋》中，没有红橙黄绿青蓝紫的卡色阶级，所有的武将都能升到最高星！同时还有进阶和武魂系统，助你战力飙涨！
　　《宿命交锋》独有的SLG+卡牌玩法，极大地提高了武将的上限值，你不仅要考虑武将本身的兵种、技能和属性，更要考虑阵营的搭配和羁绊。这使得游戏中不重合的武将阵营达到了上千种！成年人靠大脑，称霸三国就看你的策略和计谋！

　　当你组成了独特的阵营军队，你该如何大显身手呢？来《宿命交锋》参加万人跨服城战，体验真正的热血交锋！
　　每个领主在沙盘大地图上通过占领城池，不断地扩大势力，占领城市越多收益越大！多方势力相互制衡，每时每刻都在发生领土之争，真可谓东汉末年分三国，烽火连天不休，热血的跨服城战现在已经火热开打，你还不来战？

　　君海全新MMO国战策略手游《宿命交锋》删测火热进行中！万人约战，火热开打！ 在这款全新的三国策略手游中，你将化身为主公，招募众多三国名将，率领大军参与国战，在乱世中建立自己的势力，实现乱世封侯的梦想。万人来战！你约不约？
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
《大话白蛇》特色玩法，好玩不只是战斗！,2019-10-11,97973手游网,"Holle，各位老爷仙女们你萌好！又到了我们周周见面的时候啦，继之前小编儿将不少《大话白蛇》中的一些精彩资讯推送给大家，不知道大伙可都满意？今天的这一期就让我们来聊聊游戏中的一些有趣的大小玩法吧！
　　“老司机带带我，我要去……”嘿嘿~这首洗脑的旋律有没有很熟悉？但是，今天小编儿不开车，咱开船！
　　登浪~在我们匠心团队的努力开发下，《大话白蛇》海上贸易玩法终于可以与大家见面啦！想要了解这个全新的玩法嘛？坐稳了，小编儿这就给各位看官一一道来。
　　新玩法海上贸易属于一个策略性的模块，当玩家等级达到42级的时候便会开启，这是一个单人趣味活动，且全天开放哦！

　　既然玩法的名字叫海上贸易，那它必定与经商做生意有关联，玩家可以通过贸易的订单去寻找、准备相应的货物，在规定的时间内将货物装箱完毕后都可获得修炼经验，装满8个箱子让船出发后可得到一个修炼丹。对了，这个模块可不仅仅只是赚取修炼丹那么简单哦，除此以外还能赚到一定的威望，威望值可用于升级官职。所以，这可是一个可以让玩家快速升官发财的理想玩法。

　　来来来，继海上贸易，小编儿今天就将《大话白蛇》中另外一个有趣的小游戏曝光给大家，它就是我们萌值担当的“萌宠翻翻乐”小游戏中这个模块可分为三种难度，简单、中等、还有最高。如果大家都有玩过“消消乐”类型的游戏，那么我们的“翻翻乐”也一定难不倒你。点击两个背对的卡牌，如果图案一致便会消除，直到界面的卡牌一张不剩即为挑战成功，花的时间越少，你的奖励也就越大哦！当然了，每一个阶层的难度所对应的奖励丰厚程度都不一样，还等什么？修炼丹、高级宝图、珍兽之魂、神兽之魂都在向你招手！

　　欢乐的时光总是那么的短暂，又该到与老爷仙女们说再见的时候了，但这只是暂时的，因为小编儿要去体验手游《大话白蛇》啦！因为只有这样才能不断的将好玩又有趣的游戏内容安利给大家，酱~撒哟呐拉！
　　《大话白蛇》手游，给你不一样的白蛇传说！

　　大话白蛇游戏官网：https：//dhbs.demigame.com/

　　大话白蛇游戏官方Q群：730903773
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
实力护主，萌宠相随！《大话白蛇》宠物大曝光,2019-09-29,97973手游网,"“嘤嘤嘤”各位老爷仙女们安康！又到我们周周见的时候啦！本次小编儿给大家带来一些“干货”让各位看官对我们《大话白蛇》手游有更多的了解。
　　“去吧比卡丘，使用十万伏特”
　　“亚古兽进化……”
　　“神兵天晶，正义力量……”
　　这些熟悉的台词有没有勾起你那中二的回忆？遥想当年这些宠物宝贝的动画伴随着我们一代人的成长，那时候大家可都是想拥有那么一只神奇宠物伴随身边的。
　　2019手游梦幻大作《大话白蛇》强势来袭，趣味的宠物系统将圆你成为一名宠物“训练家”的梦想。它们Q萌可爱，能力出众，级别可分为普通、稀有、珍兽、神兽、仙兽等不同级别，虽然各个宠物们的级别或许会不同，但是都会保留着它们自己身上特有的属性技能，以达到“龙生九子，子子不同”的个性保留。

　　宠物的外观不仅要好看，而且还要具备强横的实力，手游《大话白蛇》的宠物系统中有一个炼妖界面，里面可是多出了不少新奇的玩法，其中吞食跟合宠是小编儿最喜欢的一个模块，你可以将多余出来的非专有宝宝用作主宠吞食的对象，吞食成功后主宠将在成长、寿命、经验、资质中随机提升一项，另外还能将一个低阶技能升至高级，领悟一个副宠的技能呢。怎么样？这种玩法是不是很cool？

　　如果说吞食是一种宠物的进化，那么合宠将是宠物的一种究极进化，玩家可将两只不一样的宠物带到合宠模块，只要按照指引将放进合宠的界面，那接下来你将会见证奇迹的时刻，两只不一样的宠物在合宠后有一定的几率结合成它们的结合体，属性与技能将会发生翻天覆的变化，这听起来是不是很酷炫？

　　2019手游《大话白蛇》将宠物元素大刀阔斧全面提升，百种各具特色的仙灵异兽等你支配，三界六道，天上地下忠诚相伴，匠心制作，诚意表现，为你打造一个不一样的白蛇传奇！
　　好啦各位看官，本次宠物模块就给大家介绍到这，想要了解《大话白蛇》更多官方新闻资讯，请持续关注我们哟！下期见啦，拜拜！
　　《大话白蛇》手游，给你不一样的白蛇传说！

　　大话白蛇游戏官网：https：//dhbs.demigame.com/

　　大话白蛇游戏官方Q群：730903773
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
极致伙伴，大显神威《大话白蛇》手游伙伴篇闪亮登场,2019-10-24,97973手游网,"小编儿这会儿正苦思着用什么样的开场方式跟仙女老爷们say Holle的时候，不知不觉间竟已经跟大家打过了招呼，意不意外？惊不惊喜？窝窝头一块钱四个，嘿嘿~~
　　那整好，咱今天就用“四”这个数字来贯穿小编儿今天要介绍的内容，那么它就是我们《大话白蛇》中手足情深的伙伴玩法。在我们《大话白蛇》手游中有一个伙伴系统，等级达到11级便可开放。通过点击右下角的伙伴界面将其打开。伙伴界面中又分为两个模块，伙伴布阵与伙伴招募。
　　1、伙伴招募
　　虽然在《大话白蛇》中，强劲的伙伴有很多，但大致可分为四种类型，他们分别是：物攻、法攻、辅助还有封印。每一种类型的伙伴在团队中都会扮演着重要的角色，当然啦，伙伴至多可以同时上阵4个，因此在战斗中要特别的注意伙伴的搭配阵容，不同的伙伴搭配出来的效果往往会是4+1>5的效果，所以想要在战场上游刃有余的取得一次又一次的胜利，搭配好伙伴可是一个大门道。不假思索的胡乱的招募伙伴放置搭配，到最后往往会差强人意。

　　2、伙伴布阵
　　相信不少热爱游戏的朋友都有看过玄幻题材的影视作品与类型小说，在这些作品中不难发现少不了花哨的阵法登场。最新回合制手游《大话白蛇》中也将威力强大的阵法作为一种元素添加进游戏当中，游戏中阵法一共有八种，八种阵法相互制约，相生相克，在战斗中，伙伴的搭配与阵法的布置也是如出一辙的相似，作为一名游戏爱好者，如果你能将伙伴与阵法的搭配运用到如火纯青的话，相信即便你的角色在属性上略逊对手半筹，但是伙伴与阵法搭配得当的话，也能出奇制胜，毕竟咱这可是一个需要灵活的脑子作为前提的优秀手游。

　　返回伙伴招募模块中，虽然伙伴数量繁多，但是他们都归于物、法、辅、封这四种大类别，每一个伙伴在法术与属性上也会大不相同，伙伴的招募也分为前、中、后三个时期，伙伴质量也有所差别，伙伴中的级别分别为一星、二星跟三星。但这些都需要玩家的角色等级达到相应的等级时才会开启，因为到了大后期，怪物的实力也会攀升，只靠使用前期的伙伴进行排兵布阵会稍许勉强，所有我们还会拥有更多实力强劲的伙伴队友。

　　好啦各位，本次伙伴模块的看点就给大家介绍到这咯，稍晚一些，小编儿将伙伴中的阵法的玩法倒腾整理完成后再向广大的游戏爱好者奉上，等着我哟，那么…再您个见嘞！
　　《大话白蛇》手游，给你不一样的白蛇传说！

　　大话白蛇游戏官网：https：//dhbs.demigame.com/

　　大话白蛇游戏官方Q群：730903773
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
美猴王驾到！ 《大圣轮回》再次携手六小龄童先生推大圣主题时装,2019-12-02,97973手游网,"身穿“黄金锁子甲” ，头戴“凤翅紫金冠”，脚蹬 “藕丝云步履”，你就是齐天大圣！12月2日，四九游戏西游IP大作《大圣轮回》再次携手著名表演艺术家、经典电视剧《西游记》主演、家喻户晓的西游文化“齐天大圣”六小龄童先生，展开深度合作，在游戏内同步上线了齐天大圣、斗战胜佛两套主题时装，让玩家充分感受大圣的魅力！

　　主题时装免费送 人人都是大圣
　　在《西游记》中，悟空为借兵器而入龙宫，龙王为了讨好，给了悟空一身宝盔。如今，这套传说中的宝盔在《大圣轮回》中得以重现。新手玩家只要上线10分钟就可免费体验这套华丽的时装，而老玩家也可通过激活终身卡免费领取。
　　另一套更为珍贵的联动时装“斗战圣佛”，则更充分地还原了原著中“黄金锁子甲” 、“凤翅紫金冠”、 “藕丝云步履”的“神器品质”，细腻的金属细节加上灵动光鲜的特效，穿上行走在三界之中，必定会吸引众人的目光！在每周三次的跨服争霸活动中夺魁的玩家，即可免费获赠该时装。当然，感兴趣的玩家也可通过消耗特殊道具获取。
　　这两套大圣主题时装不仅外观精美，还能为玩家提供高额的战力加成，让你真正成为上天入地无所不能的齐天大圣！

　　唤醒大圣梦想 共闯西游路
　　除了两套大圣主题时装之外，本次《大圣轮回》还为广大玩家准备了更多惊喜的联动，玩家在游戏中就能畅快地和大圣“并肩作战”。游戏已经上线了全新的大圣版本主题加载页，在特定时间点，“大圣”还会现身世界频道进行“神秘播报”。此外，为了激励玩家努力踏上西游修行之路，大圣还为在西游世界完成特定成就的玩家额外奉上超值大礼。

　　西游路漫漫 再次携手六小龄童先生

 
　　品牌宣传片《西游路漫漫》
　　去年9月，四九游戏正式宣布六小龄童先生代言旗下产品《大圣轮回》，双方携手推广西游文化，引发了市场的积极反响。这一次，《大圣轮回》再次携手六小龄童先生，双方不仅推出了全新的品牌宣传片《西游路漫漫》，在品质升级的同时，更强调引导年轻用户传承传统文化，吸引了众多玩家的关注。
 品牌宣传片《西游路漫漫》剧照
品牌宣传片《西游路漫漫》剧照
品牌宣传片《西游路漫漫》剧照
　　现在，《大圣轮回》全新资料片已经上线，“齐天大圣”正在游戏中等待着与各位玩家邂逅，赶紧踏入西游世界，和大圣一起共闯西游路吧！
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
魔兽世界的大秘境这款游戏也有!君海《宿命交锋》火爆删测中,2019-10-25,97973手游网,"君海全新MMO国战策略手游《宿命交锋》删测火爆开启！作为一款三国题材的策略手游，《宿命交锋》不仅拥有丰富的武将养成系统，还有着远征西域、大秘境、都城战等精彩玩法，力求为你还原一个原汁原味的三国史诗世界。
　　在《宿命交锋》的乱世中，无论是创新的大型多人跨服城战，还是经典的攻城略地养成，都有独特的魅力，今天就带你细细的品。

　　身为PK党，肯定不能错过的就是竞技玩法，与人对弈才能创造史诗时刻。在《宿命交锋》中，不仅有单人PK的演武场，更有多人同时操作的跨服城战玩法。
　　演武比试，一较高下。在演武场中比拼的不仅是军队的硬实力，更是兵种相克的奇妙制衡，你需要考虑到兵种的搭配和排位，才能屡战屡胜。在演武场中获胜，不仅能获得大量元宝，还会获得独一无二的演武币，排名越前，奖励越多！

　　除了单兵作战的演武场，更加激动人心的大型多人跨服城战你一定不能错过。每个领主都有不同的势力方，在沙盘大地图上通过占领城池，不断地扩大己方势力。将你的武将组成联军排兵布阵，占领城市越多收益越大！
　　多方势力相互制衡，每时每刻都在发生领土之争，真可谓东汉末年分三国，烽火连天不休，热血的跨服城战现在已经火热开打，你能否来战！

　　无论是魔兽世界的大秘境团战，还是暗黑破坏神3的大秘境搬砖，大秘境这个词总能引爆玩家兴奋点，挑战boss获取宝物的时刻是最令人期待的。
　　《宿命交锋》创新地开创了大秘境副本，玩家通过组织军队搭配阵容，一一挑战各大三国名将boss，刺激的战斗，超高的掉宝率，为你的征战三国之旅带来无限快乐。
　　除了惊险刺激的大秘境，还有英雄试炼，虎牢关征战，远征西域，巅峰对决等丰富多彩的幻境玩法，不仅可以获得各种材料和稀有武将将魂，还能冲上排行榜一览众山小！

　　君海全新MMO国战策略手游《宿命交锋》删测火热进行中！ 在这款全新的三国策略手游中，你将化身为主公，招兵买马，将众多三国名将招入麾下，率领大军参与国战，攻城略地，在乱世中建立自己的势力，实现乱世封侯的梦想。热血大战，一触即发，一个全新的三国史诗战场等你来！
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
美猴王深情寄语玩家 《大圣轮回》X六小龄童拍摄花絮惊喜上线,2019-12-10,97973手游网,"近日，六小龄童将以动作捕捉演员的身份，在电影《西游记真假美猴王》里出演”孙悟空”的消息迅速登上微博热搜，很多网友都表示被勾起了情怀，“很希望能看到六小龄童再演《西游记》，这是童年的回忆”，“希望看到年轻的猴哥脸和经典的大圣魂”。


　　而此前，四九游戏旗下西游IP大作《大圣轮回》也曝光了再次与六小龄童合作的全新品牌宣传片《西游路漫漫》，同样迅速引起了众多玩家和西游爱好者的情怀共鸣。

　　12月10日，《大圣轮回》惊喜上线了《西游路漫漫》拍摄花絮，邀请玩家一起聆听六小龄童对于美猴王、对于每一位玩家的深情寄语。

　　“却看不到它为取经保驾护航过程的艰辛，降妖途中的隐忍和正直”
　　花絮开篇，一改猴王装扮，身穿传统典雅唐装的六小龄童聊起了人们对《西游记》和美猴王的喜爱，“人人都看西游记，人人都喜欢美猴王”，随后话锋一转，谈起了美猴王背后不为人知的“故事”：“但他们都只看到了美猴王的‘强大’和斗战胜佛的‘荣耀’，却看不到它为取经保驾护航过程的艰辛和降妖途中的隐忍和正直。”
 品牌宣传片《西游路漫漫》花絮
品牌宣传片《西游路漫漫》花絮
品牌宣传片《西游路漫漫》花絮
　　六小龄童用颇具哲理性的语句向广大西游迷们讲述了大圣的另一面，表面的荣耀与背后的艰辛往往并存，这无论在游戏《大圣轮回》、还是神话《西游记》，抑或是我们的日常生活中都能找到相应的注脚。
　　“希望那个努力奋斗的你，无论在哪一个世界都能取得真经”
　　“游戏是什么？它是现代人生活中一种放松的方式，也是童年英雄梦想的延续。有深度的游戏会让你在放松的时候无意间懂得那些背后的道理。”作为《大圣轮回》代言人的六小龄童，随后给出了自己对于游戏产品社会及人文价值的思考，他希望游戏本身能更好地承载并传播西游文化。
品牌宣传片《西游路漫漫》花絮
　　最后，他对《大圣轮回》的所有玩家以及西游迷们留下了自己的深情寄语：
　　“希望，西游世界能带给你不一样的体验。”
　　“希望那个努力奋斗的你，无论在哪一个世界都能取得真经。”
品牌宣传片《西游路漫漫》花絮
品牌宣传片《西游路漫漫》花絮
　　双大圣共舞 全新资料片“真假美猴王”即将发布
　　除了曝光“美猴王”六小龄童的精彩拍摄花絮，不久之后，《大圣轮回》还将同步推出全新的资料片“真假美猴王”，“真美猴王”——齐天大圣主题套装与“假美猴王”——神宠六耳猕猴共同登场，带给玩家一场“双大圣共舞”的视觉盛宴，爆点十足，值得期待。

　　更多详情请关注：
　　官方网站：http://dntg.49app.com/
　　官方微信公众号：danaotiangong49
　　官方微博：大圣轮回
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
冬趣狂欢新宠献礼 《大圣轮回》浓情冬日嘉年华暖心来袭,2019-12-20,97973手游网,"2019年即将进入尾声，为了回馈玩家们一年以来的热爱与支持，12月20日-12月22日，四九游戏旗下西游IP大作《大圣轮回》开启浓情冬日主题嘉年华，21个狂欢活动同时上线，为玩家献上海量福利和超多好玩有趣的互动设计，之前曝光的全新神宠六耳猕猴也惊喜上架，想要获取的玩家可千万不要错过哦！

　　缤纷活动 暖心来袭
　　12月20日-12月22日，所有玩家只要登陆游戏即可获得宠物进阶丹、技能书、金装碎片等一应豪礼，连续登陆奖励升级！活动期间，击杀怪物还有几率掉落神秘字卡，集齐“冬日可爱”四张字卡还可兑换进阶丹和属性丹大礼包哦！

　　对于想要追求特定奖励的玩家，官方也精心设计了“自选寻宝”和“自选转盘”两大特殊福利活动，玩家可以自行选择对应的奖品档次构成奖池，金色仙侣/星君、红色/至尊命格、超级飞升丹等稀有物品等你来抽取！

　　全新神宠 限定上架
　　全新神宠六耳猕猴首次限定上架！《西游记》中的齐天大圣可以使用猴毛分身，召唤无数猴子猴孙为他作战，而《大圣轮回》中六耳猕猴的主动技能“当头一棒”与之相比毫不逊色，释放后可以对4个随机目标造成42%+11000点伤害，攻击时还有50%概率触发分身连击，对2个目标造成额外伤害，可谓是刷本推图做活动的利器。嘉年华期间，玩家累计充值达到一定金额即可将六耳猕猴收入麾下！

　　新年暴富 乐趣无穷
　　为了让所有玩家在新年即将到来之际提前“富起来”，《大圣轮回》在此次嘉年华中还特别推出了“大富翁”系列活动。活动期间，玩家消耗特定道具可以赢得“摇骰子”的机会，由摇到的点数决定在“藏宝地图”上行走的步数，每次行动都会获得经过路径上的所有奖励，行动达到一定圈数还可获得包括金色助战在内的超级礼包！

　　现在，《大圣轮回》浓情冬日嘉年华系列主题活动，正在各大服务器如火如荼地进行之中，海量福利和全新神宠，正等待着各位玩家前来领取。在2019年即将步入尾声之际，让我们一同相约，在游戏中感受西游世界带给我们的无穷乐趣！
　　更多详情请关注：
　　官方网站：http://dntg.49app.com/
　　官方微博：大圣轮回
　　官方微信公众号：danaotiangong49
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
